carbonsource,experiment,cellno,ID,time,recovery_time,observation
gly2,231215,4,231215_gly2_4,6.9204,0,0.177126526
gly2,231215,4,231215_gly2_4,7.3399,0.4195,0.207069632
gly2,231215,4,231215_gly2_4,7.7595,0.8391,0.236226851
gly2,231215,4,231215_gly2_4,8.179,1.2586,0.180555931
gly2,231215,4,231215_gly2_4,8.5986,1.6782,0.208403768
gly2,231215,4,231215_gly2_4,9.0182,2.0978,0.248073686
gly2,231215,4,231215_gly2_4,9.4377,2.5173,0.307711153
gly2,231215,4,231215_gly2_4,9.8573,2.9369,0.248084516
gly2,231215,4,231215_gly2_4,10.2768,3.3564,0.247245318
gly2,231215,4,231215_gly2_4,10.6964,3.776,0.24257231
gly2,231215,4,231215_gly2_4,11.116,4.1956,0.220630571
gly2,231215,4,231215_gly2_4,11.5355,4.6151,0.236590923
gly2,231215,4,231215_gly2_4,11.9551,5.0347,0.275287902
gly2,231215,4,231215_gly2_4,12.3747,5.4543,0.266104441
gly2,231215,4,231215_gly2_4,12.7942,5.8738,0.306189265
gly2,231215,4,231215_gly2_4,13.2138,6.2934,0.25971754
gly2,231215,4,231215_gly2_4,13.6333,6.7129,0.287358845
gly2,231215,4,231215_gly2_4,14.0529,7.1325,0.377683266
gly2,231215,4,231215_gly2_4,14.4725,7.5521,0.28787654
gly2,231215,4,231215_gly2_4,14.892,7.9716,0.346098652
gly2,231215,4,231215_gly2_4,15.3116,8.3912,0.30611129
gly2,231215,4,231215_gly2_4,15.7311,8.8107,0.312323432
gly2,231215,4,231215_gly2_4,16.1507,9.2303,0.305742869
gly2,231215,4,231215_gly2_4,16.5703,9.6499,0.313868715
gly2,231215,4,231215_gly2_4,16.9898,10.0694,0.278652701
gly2,231215,4,231215_gly2_4,17.4094,10.489,0.297243813
gly2,231215,4,231215_gly2_4,17.829,10.9086,0.286247454
gly2,231215,4,231215_gly2_4,18.2485,11.3281,0.308034435
gly2,231215,4,231215_gly2_4,18.6681,11.7477,0.308607132
gly2,231215,4,231215_gly2_4,19.0876,12.1672,0.321290449
gly2,231215,4,231215_gly2_4,19.5072,12.5868,0.34444837
gly2,231215,4,231215_gly2_4,19.9268,13.0064,0.31344942
gly2,231215,4,231215_gly2_4,20.3463,13.4259,0.32738341
gly2,231215,4,231215_gly2_4,20.7659,13.8455,0.38713203
gly2,231215,4,231215_gly2_4,21.1854,14.265,0.358076558
gly2,231215,4,231215_gly2_4,21.605,14.6846,0.30671009
gly2,231215,4,231215_gly2_4,22.0246,15.1042,0.377088468
gly2,231215,4,231215_gly2_4,22.4441,15.5237,0.308768949
gly2,231215,4,231215_gly2_4,22.8637,15.9433,0.355576644
gly2,231215,4,231215_gly2_4,23.2832,16.3628,0.399214126
gly2,231215,4,231215_gly2_4,23.7028,16.7824,0.371945963
gly2,231215,4,231215_gly2_4,24.1224,17.202,0.443640455
gly2,231215,4,231215_gly2_4,24.5419,17.6215,0.316384103
gly2,231215,4,231215_gly2_4,24.9615,18.0411,0.340979762
gly2,231215,4,231215_gly2_4,25.3811,18.4607,0.423722091
gly2,231215,4,231215_gly2_4,25.8006,18.8802,0.361119788
gly2,231215,4,231215_gly2_4,26.2202,19.2998,0.375273988
gly2,231215,4,231215_gly2_4,26.6397,19.7193,0.372151601
gly2,231215,4,231215_gly2_4,27.0593,20.1389,0.380508919
gly2,231215,4,231215_gly2_4,27.4789,20.5585,0.387168965
gly2,231215,4,231215_gly2_4,27.8984,20.978,0.300484792
gly2,231215,4,231215_gly2_4,28.318,21.3976,0.341701343
gly2,231215,4,231215_gly2_4,28.7375,21.8171,0.393473651
gly2,231215,4,231215_gly2_4,29.1571,22.2367,0.406594809
gly2,231215,4,231215_gly2_4,29.5767,22.6563,0.425731972
gly2,231215,4,231215_gly2_4,29.9962,23.0758,0.401018532
gly2,231215,4,231215_gly2_4,30.4158,23.4954,0.317379415
gly2,231215,4,231215_gly2_4,30.8354,23.915,0.417527433
gly2,231215,4,231215_gly2_4,31.2549,24.3345,0.389325405
gly2,231215,4,231215_gly2_4,31.6745,24.7541,0.408686579
gly2,231215,4,231215_gly2_4,32.094,25.1736,0.459437925
gly2,231215,4,231215_gly2_4,32.5136,25.5932,0.413131717
gly2,231215,4,231215_gly2_4,32.9332,26.0128,0.445180654
gly2,231215,4,231215_gly2_4,33.3527,26.4323,0.397482977
gly2,231215,4,231215_gly2_4,33.7723,26.8519,0.460431754
gly2,231215,4,231215_gly2_4,34.1918,27.2714,0.466832632
gly2,231215,4,231215_gly2_4,34.6114,27.691,0.461722682
gly2,231215,4,231215_gly2_4,35.031,28.1106,0.421022988
gly2,231215,4,231215_gly2_4,35.4505,28.5301,0.319474301
gly2,231215,4,231215_gly2_4,35.8701,28.9497,0.445243214
gly2,231215,4,231215_gly2_4,36.2897,29.3693,0.415019033
gly2,231215,4,231215_gly2_4,36.7092,29.7888,0.413630825
gly2,231215,4,231215_gly2_4,37.1288,30.2084,0.418460943
gly2,231215,4,231215_gly2_4,37.5483,30.6279,0.449940755
gly2,231215,4,231215_gly2_4,37.9679,31.0475,0.445894017
gly2,231215,4,231215_gly2_4,38.3875,31.4671,0.389036798
gly2,231215,4,231215_gly2_4,38.807,31.8866,0.46355163
gly2,231215,4,231215_gly2_4,39.2266,32.3062,0.414622185
gly2,231215,4,231215_gly2_4,39.6461,32.7257,0.377173197
gly2,231215,4,231215_gly2_4,40.0657,33.1453,0.440346709
gly2,231215,4,231215_gly2_4,40.4853,33.5649,0.402450995
gly2,231215,4,231215_gly2_4,40.9048,33.9844,0.359903998
gly2,231215,4,231215_gly2_4,41.3244,34.404,0.442466069
gly2,231215,4,231215_gly2_4,41.744,34.8236,0.429784985
gly2,231215,4,231215_gly2_4,42.1635,35.2431,0.388044848
gly2,231215,4,231215_gly2_4,42.5831,35.6627,0.534101929
gly2,231215,4,231215_gly2_4,43.0026,36.0822,0.481410173
gly2,231215,4,231215_gly2_4,43.4222,36.5018,0.52285564
gly2,231215,4,231215_gly2_4,43.8418,36.9214,0.393248064
gly2,231215,4,231215_gly2_4,44.2613,37.3409,0.376105761
gly2,231215,4,231215_gly2_4,44.6809,37.7605,0.407162242
