carbonsource,experiment,cellno,tag,time,recovery_time,observation
glu005,231215,5,231215_glu005_5,23.2796,16.6836,0.377619402
glu005,231215,5,231215_glu005_5,23.7305,17.1345,0.31215665
glu005,231215,5,231215_glu005_5,24.1814,17.5854,0.303500115
glu005,231215,5,231215_glu005_5,24.6324,18.0364,0.327401916
glu005,231215,5,231215_glu005_5,25.0833,18.4873,0.318961458
glu005,231215,5,231215_glu005_5,25.5342,18.9382,0.263398308
glu005,231215,5,231215_glu005_5,25.9851,19.3891,0.290609135
glu005,231215,5,231215_glu005_5,26.436,19.84,0.236453352
glu005,231215,5,231215_glu005_5,26.8869,20.2909,0.264443669
glu005,231215,5,231215_glu005_5,27.3378,20.7418,0.283068165
glu005,231215,5,231215_glu005_5,27.7887,21.1927,0.312064959
glu005,231215,5,231215_glu005_5,28.2396,21.6436,0.296942593
glu005,231215,5,231215_glu005_5,28.6905,22.0945,0.333022655
glu005,231215,5,231215_glu005_5,29.1414,22.5454,0.349242211
glu005,231215,5,231215_glu005_5,29.5923,22.9963,0.340569746
glu005,231215,5,231215_glu005_5,30.0433,23.4473,0.393947456
glu005,231215,5,231215_glu005_5,30.4942,23.8982,0.370028332
glu005,231215,5,231215_glu005_5,30.9451,24.3491,0.316917202
glu005,231215,5,231215_glu005_5,31.396,24.8,0.294059363
glu005,231215,5,231215_glu005_5,31.8469,25.2509,0.34455141
glu005,231215,5,231215_glu005_5,32.2978,25.7018,0.345248494
glu005,231215,5,231215_glu005_5,32.7487,26.1527,0.270201611
glu005,231215,5,231215_glu005_5,33.1996,26.6036,0.355200939
glu005,231215,5,231215_glu005_5,33.6505,27.0545,0.32845941
glu005,231215,5,231215_glu005_5,34.1014,27.5054,0.289720168
glu005,231215,5,231215_glu005_5,34.5523,27.9563,0.365549709
glu005,231215,5,231215_glu005_5,35.0032,28.4072,0.361031157
glu005,231215,5,231215_glu005_5,35.4541,28.8581,0.380246333
glu005,231215,5,231215_glu005_5,35.9051,29.3091,0.308961763
glu005,231215,5,231215_glu005_5,36.356,29.76,0.273326139
glu005,231215,5,231215_glu005_5,36.8069,30.2109,0.425763202
glu005,231215,5,231215_glu005_5,37.2578,30.6618,0.393165616
glu005,231215,5,231215_glu005_5,37.7087,31.1127,0.355768303
glu005,231215,5,231215_glu005_5,38.1596,31.5636,0.302732751
glu005,231215,5,231215_glu005_5,38.6105,32.0145,0.313657085
glu005,231215,5,231215_glu005_5,39.0614,32.4654,0.416638788
glu005,231215,5,231215_glu005_5,39.5123,32.9163,0.336469422
glu005,231215,5,231215_glu005_5,39.9632,33.3672,0.341960481
glu005,231215,5,231215_glu005_5,40.4141,33.8181,0.413055397
glu005,231215,5,231215_glu005_5,40.865,34.269,0.342282129
glu005,231215,5,231215_glu005_5,41.316,34.72,0.33323014
glu005,231215,5,231215_glu005_5,41.7669,35.1709,0.416599316
glu005,231215,5,231215_glu005_5,42.2178,35.6218,0.35001767
glu005,231215,5,231215_glu005_5,42.6687,36.0727,0.334630514
glu005,231215,5,231215_glu005_5,43.1196,36.5236,0.355383325
glu005,231215,5,231215_glu005_5,43.5705,36.9745,0.395502393
glu005,231215,5,231215_glu005_5,44.0214,37.4254,0.359800096
glu005,231215,5,231215_glu005_5,44.4723,37.8763,0.349205563
glu005,231215,5,231215_glu005_5,44.9232,38.3272,0.406672938
glu005,231215,5,231215_glu005_5,45.3741,38.7781,0.359353622
glu005,231215,5,231215_glu005_5,45.825,39.229,0.361902876
glu005,231215,5,231215_glu005_5,46.2759,39.6799,0.37149063
glu005,231215,5,231215_glu005_5,46.7268,40.1308,0.373059255
glu005,231215,5,231215_glu005_5,47.1778,40.5818,0.360643376
glu005,231215,5,231215_glu005_5,47.6287,41.0327,0.336338827
glu005,231215,5,231215_glu005_5,48.0796,41.4836,0.326810689
glu005,231215,5,231215_glu005_5,48.5305,41.9345,0.338126915
glu005,231215,5,231215_glu005_5,48.9814,42.3854,0.314166293
glu005,231215,7,231215_glu005_7,10.5071,0,0.13732102
glu005,231215,7,231215_glu005_7,10.9448,0.4377,0.11731115
